Position Name,Job,Salary,Job Type,Shift & Schedule,Company,Location,Rating,URL,Id,Posted At,Scraped At,Short Description,External Apply Link
Jr. Software Developer,Software Developer ,,Full-time,,Appiphony,"Chicago, IL",,https://www.indeed.com/rc/clk?jk=ec7209fa68c5e735&fccid=861ed6bd472a38c9&vjs=3,ec7209fa68c5e735,PostedPosted 19 days ago,2023-04-23T17:55:13.075Z," 
 Previous work experience is preferred.
 Solid understanding of web technologies such as REST, HTTP, JSON.
 Usable knowledge of relational databases and ability to…
",www.indeed.com/applystart?jk=ec7209fa68c5e735
Trainee Software Developer,Software Developer ,"From $75,000 a year",Full-time,Monday to Friday +2,Binary Logic IT,"Sterling, VA 20166+1 location",,https://www.indeed.com/company/Binary-Logic-IT/jobs/Software-Engineer-5f4212d7b22cd46c?fccid=ac26ada312b207bc&vjs=3,5f4212d7b22cd46c,PostedPosted 1 day ago,2023-04-23T17:55:13.076Z,"Who has valid work authorization ( OPT, H4EAD, GCEAD, GC, US Citizen).
 Willing to put an extra effort to gain technical expertise in a short time.",www.indeed.com/applystart?jk=5f4212d7b22cd46c
".Net Core Developer (onsite in Naperville, IL)",Software Developer ,,Full-time,Monday to Friday +1,Thatcher Technology Group,"Naperville, IL 60563+1 location",1.6,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dlx-VtvN2sBG1cc-WIr5tdSoMo7Iunm8lC8cEzRyvTvmGSi5nwnBZTgOlpe1-67NPqQc070qMaR72wncIpKUqE6T81_sTQbwzI0ehu5BJO8_wsx_nMj19cLCVoqTP2-FMWBu936HA40v8M0b-WbVRViFANfZLAyHbk-yDShP868_sQgLFJEYEWUUsrui2W3cjU6rvzBYAYFeA8s1NwctywzAPG_Kozzmwra9dH_Y--UxpLJOguiYY6ohAE0yGPjdxc7s9QZSMqaT8SzEnT7xeq6jAaSCEVtXpwHKJm7j5FhvqErSOkBcSGDcQJLoIMPSl8st3mKHiyG5TBSe_4G-vWxpMGoqnrrIL2ff4l9o4nSBbdhZo0ibue_K8_MDI0eEL9i7RR-NnwMaeUuvK9bVR8vipgRvRjUH9XTJPdZ37A5GINa9O9YgBYMaesVq9AZln5uwrSalCYrrOnYxYEprFQBEzu7jhjRwQ9hnZbVVMUmuEXpivwrS3407oZqB91z70nFci1TEHCtQy2BMUVnVW5SW8_jwShtxMGi-VgnQxyeFyJ3GKB-tHIiAM2wyJxTGs=&xkcb=SoAp-_M3QXgD86WaA50JbzkdCdPP&p=0&fvj=1&vjs=3,89565539f270e1b0,EmployerActive 3 days ago,2023-04-23T17:55:19.745Z," 
 Prior experience in the software industry preferred.
 Experience in designing, developing, and delivering software components in addition to developing in C# (…
",www.indeed.com/applystart?jk=89565539f270e1b0
"Junior Application Developer, JavaScript",Software Developer ,"$65,111 - $91,156 a year",Full-time,,Abt Associates,"Rockville, MD 20852",3.6,https://www.indeed.com/rc/clk?jk=e7a69c467a87351a&fccid=a13c40c13c1aafa9&vjs=3,e7a69c467a87351a,PostedPosted 3 days ago,2023-04-23T17:55:19.750Z," 
 Experience using software development tools like Jira and Confluence.
 Solving the world’s most pressing issues and improving the quality of life for people…
",www.indeed.com/applystart?jk=e7a69c467a87351a
Jr. Software Developer,Software Developer ,,Full-time,,Appiphony,"Chicago, IL",,https://www.indeed.com/rc/clk?jk=ec7209fa68c5e735&fccid=861ed6bd472a38c9&vjs=3,ec7209fa68c5e735,PostedPosted 19 days ago,2023-04-23T17:55:19.750Z," 
 We're looking for a Jr. software developer interested in building applications for the Salesforce.com (https://www.salesforce.com/) platform.
",www.indeed.com/applystart?jk=ec7209fa68c5e735
Senior Developer,Software Developer ,"$120,000 - $160,000 a year",Full-time,Monday to Friday,Nexio,"Orem, UT",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BCz-Dd2wipdHSQXjsyCdzapKH85J_ghJ8zx9W2A6Sf9FN2R-uQIKlFC58k1EhFPxBI8fcV7hQYenDLuUIZPJHU4NYr2sU1gEKN9yncnLon69Oi_3L6WUAWmkIPqNv0UNBtFxB1N2vx5BwGJ2Ylb8cxfjRxGTOB0aeFAQEFHqhu4bnJEMLmbFqJlxrADvC30bVPdKGNsVmpDaF2hbJClL4HTrhnXvJl9cp0pBe2UacTzgj-SIAPHUsBD-uDDkHUmpbazIqzssP_NUQhlhrBKT14BcLaU_eBoF4Txw_joCBN14zkxOFebLKxNqaC2u0xltiivg1dQL88B5vyp72KQfXv4LEV0rzKN7OOUGW0H1_aAsn2SFb_J6vl92gVMQ7EzVPQncPzEhOXMRW9rEFp39Uu40yFwLFfYdCuaF_4N-bFF6DDNN0nggKNi85VJH6CVDrujJDgqVrQqn94tlHSyXYKDyvr9u2yeF44uUhvWdVLQqknj3mIs0KKbDEq5WxBjXzss9sZem3kfgtUGPAWoHEW&xkcb=SoCn-_M3QXgD86WaA50ObzkdCdPP&p=3&fvj=1&vjs=3,6746f0fda9e16cc6,EmployerActive 2 days ago,2023-04-23T17:55:19.750Z," 
 Follows Agile software development methodology.
 Nexio enables businesses to accept credit card payments online with our payments software.
",www.indeed.com/applystart?jk=6746f0fda9e16cc6
Software Developer,Software Developer ,"$100,000 - $120,000 a year",Full-time,Monday to Friday +1,vMOX,Remote,3.3,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BEbGKaoae-Ce_iiEXYusbMYRiYfIF16YZC5QmIHUwurWYQTzW8vVxxLpskh8aYmAE5aj6LG5tm99RtAL8kdKs4ytlpcqbbJq7SBY7PMq6uWp7b0teOq2pdcXzIMd-PjT_QSGoMs2wlWv7XwtYf5z73-9OToFVEcoWS88v5ICt7FyzyS-WTdasK70n898mBpb4keIZjDeIdZScJjzAkFeML6xz1m-NC2q8IvmkHevxKALxjQ7cETv5p1TyeC0Ydv2TJvcq4Hi23WtjlqU53PF62bwGFJtMf9gRJ-baYeU5DK7DlFNBrw0x9PU0r7MiOLFmBw2FyHPWzN9vhKH8XxtnvrPck_jY2IrOKd_4tvgftsP_pd8YcSuewG7yxvQBp4eWXSzkAbZsSi9SHD4LgPDljyq-7vVg3cd8h5k7KU_fO5AdPKpLpHGAFOS0mZmEzFEOtUhzEYA1JW8dwvJo8LFCdOY8qmo88il2DUTHvy05VKea0oEdN6VJHGuELYeXQ-mFGMbNzYVFvs18cXCfDXXtd&xkcb=SoA6-_M3QXgD86WaA50NbzkdCdPP&p=4&fvj=1&vjs=3,cf860e8538d6ccb0,EmployerActive 1 day ago,2023-04-23T17:55:19.751Z," 
 Proficiency with Microsoft Office Suite and related software.
 Develop and support software including applications, database integration, interfaces, and new…
",www.indeed.com/applystart?jk=cf860e8538d6ccb0
"Senior UI/UX Developer, Svelte - 2216",Software Developer ,"$90,000 - $190,000 a year",Full-time,,"Reinventing Geospatial, Inc. (RGi)","Hybrid remote in Aurora, CO+9 locations",4.9,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C7xvpbHOO4bEYJcr3lK4_7faJDspGOsVVkWgomh9GN2IMZCzrOxOXr44ibtd1x4UHhnPp5Vz3coiUmU2AEWc2a6GxRZs1vd_0xLT9H8WGUPz33BEZq0gPFOKDQdowRWbdPiHA6qGAg9rIvR9JBO7b1MDsvGmSLXCdzYs8oGeDpt9LTPEFxvHBuytXxGhEQo8rcwN0Tay5A9q9X3o_5WDlcbfCLU1__3lUNk_F4HjRkekEGnafv7YPIuuZlsagrsvCvuVaAkwabjtxSXm3QBx2016XSc2bq2J8XgQuVwfYxpk_CsNwhcR0k5w7wPdmSYMohYbEBprLY-AIpJ8r4urepXVAwEIDWHDy1ngkN4-MIiEDwdDOtT_CVpclqlVARqwZzjhl6_hYsqmzhL4lEDAe-wU1HtsV9BnpLX507RNClSrvPD89XaUf5RaKJtod_LKkRAUEW6q5enXbZ7LG57Yxs5HJQN2zuYSRs3hv2kOCHVVdJCJAG_L4VUerSd8zVS5O3p0dykkWLxC5wzhZccE2-0uyJLvER4goUQaOu8px94Iv6ODyGVMLJcuQe-B_jKqbXzQH8tqAkXAD9idgSOP3-PC5Rcl_4WSCkrHjYtDjbO_n0CKLIW9q2ZU3L0yrb9jHqh33i6F-D790P9QurQy0lfVnzANk_hjA=&xkcb=SoCO-_M3QXgD86WaA50MbzkdCdPP&p=5&fvj=0&vjs=3,5b7a914f0bcaf789,PostedPosted 8 days ago,2023-04-23T17:55:19.751Z," 
 Projects at RGi span a wide range of software and analytical methodologies and lie at the intersection of software development and geospatial intelligence.
",www.indeed.com/applystart?jk=5b7a914f0bcaf789
Software Engineer,Software Developer ,"$109,111 - $118,771 a year",Full-time,8 hour shift +1,Subway,Remote,3.6,https://www.indeed.com/company/Subway/jobs/Software-Engineer-1435860112a9a13b?fccid=fca5dd60243b69d2&vjs=3,1435860112a9a13b,EmployerActive 11 days ago,2023-04-23T17:55:19.751Z," 
 We're looking for a resourceful, self-motivated developer with a passion for designing software, writing code and working with a diverse team.
",www.indeed.com/applystart?jk=1435860112a9a13b
Unqork Developer (Remote),Software Developer ,"$51,333 - $140,544 a year",Full-time,,ICF,"Remote in Reston, VA+4 locations",3.4,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DSYylACSg1DQGEyO4cxxwKRDBdzsQD8Ezqb3xaeFD8w0HI-oHjBqMzSdg1Jr80-HGmAJMODXDUqT12W_LoV_rJBQUAX_oBnDrNIAJY4mQoP-zreJX2-o0RVmzRWUJpC65u_phM0NVJYZSFf7w39Y-xTl3MEY3D-TUzr_u_7XagmHU5Z8ToTAz0rpMU6Mqs_oB-f_Lj4gLSf67vuqFmoYO56TF5_427YJROmMxA1Ho1WcqIV2gPQ2dUPniYVpgFDcL1dwEdKlZbliacT5xW5QOsJu80k26MnlAHcL6slJ13NKPOHYKhw6dlde1AvksKKkxUNur6jXnxUV-51MXMRNFjwDbpjTWtu_KTMCE9oBNXsIO89grlVFSNwUMy6fSLz6u6zAswlb7NyzS5cOPUFTgE2SXhdX2SdJGkIvOX52rSnrkxRuF-BBFbbB_t7zoesdk4IUP9U3u5bf91qUrhRzxPf1TUjsipWcYI-AfMoj9hXus6znnJ77zIn_3wHw5z5Kqal3cemnKYUwXCBks7yy2crrtxNkMgBBKwGkEh7udVZXB7sxqW5KkpL9wSIKRqvUKJB5HMEJn7SO2txulQuSFzgfQ0iJOmdxlHMyeW4obRcv8OPfexjl_Mdgyh6NzJeNE8nmn4f3_IINQvy_otynoqf3vRzRLWJgl6YxsVpUgXEA==&xkcb=SoDT-_M3QXgD86WaA50CbzkdCdPP&p=7&fvj=0&vjs=3,58c7b24bb035d1ae,PostedPosted 8 days ago,2023-04-23T17:55:19.751Z," 
 ICF’s Data Modernization Division is a rapidly growing, entrepreneurial, technology driven department, seeking a motivated Unqork Developers (all levels) to…
",www.indeed.com/applystart?jk=58c7b24bb035d1ae
