Position Name,Job,Salary,Job Type,Shift & Schedule,Company,Location,Rating,URL,Id,Posted At,Scraped At,Short Description,External Apply Link
"Entry Level Marketing*****GARDEN CITY, KS*****",Marketing ,$15 - $20 an hour,Part-time,Weekend availability +1,Moore Water & Air,"Garden City, KS 67846+4 locations",3.8,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BOVEHF_3L7mquJ0MY-Zv2F1SDQjt-fAQ721pAMsO8y1f8F1i5Jq7dUGA0sdQvvi83gYtiUCpFoTu0GNNb_k9sliKb0r3cHNHhgVrcYXPjDf-0N8C7tv-5qrWtdKHrCkZEjr0ocbSLvl6iNG2woyuwjW_Kjy5hAG_ck6BIq0FaSBcr86auGoMTyV8fEfPMpoCtVrFe2Ma-J-stjsl9WeWetinJV4wGf9Tcj4KY8iOPc9fCbYlBRn6Hf6NdHOpuj0UkjoNVbQL4cgYoMDgMRZg-H03u4Lp9v9hm9YyawUy9HQ04U5vgcQ0Pw3WQLa6Up9lni6T4Xhjz_HIbpwT9jMTW6iLnbqyIC17-ZEGvACVFU_eJNB4WZeEUA_xZ_ShszDirX2OQvruBFsVXKfPvufZ4Q694JsT9_mluS6eduLwNRhGbgmwt3gKms5Su5j-40YnPJKDXKI9OiqpFWAkr7GDUggajpR_gy6WYm5LYg5PDULn_TBV_IXRC3noo-bhO-rze4wK5APvz9V-GXceiYf4m9FM8Qx2nzriLUcidVyUe2OQ==&xkcb=SoAy-_M3QXvTZD2aAp0BbzkdCdPP&p=10&fvj=1&vjs=3,8b9d7e75716a786e,EmployerActive 11 days ago,2023-04-23T17:48:51.379Z,"_Our marketers receive ongoing, paid training and the opportunity to earn full time pay working part time with a flexible schedule!
 You must be 17 or older.",www.indeed.com/applystart?jk=8b9d7e75716a786e
Marketing Data Analyst (remote),Marketing ,"$75,000 - $85,000 a year",,,PACIFIC THE DISCOVERY AGENCY,"Remote in San Diego, CA",,https://www.indeed.com/rc/clk?jk=bfbc07a1ed2a951f&fccid=e9c5beb39ade32fd&vjs=3,bfbc07a1ed2a951f,PostedPosted 30+ days ago,2023-04-23T17:48:51.379Z," 
 The Marketing Data Analyst is responsible for supporting on-demand marketing analytics requests and developing innovative analytics tools across all aspects of…
",www.indeed.com/applystart?jk=bfbc07a1ed2a951f
Marketing Specialist,Marketing ,"$70,000 - $95,000 a year",,,"Atmosfy, Inc",Remote,,https://www.indeed.com/rc/clk?jk=709045ee87666127&fccid=f768d1a989547912&vjs=3,709045ee87666127,PostedPosted 30+ days ago,2023-04-23T17:48:51.379Z," 
 Experience and knowledge of digital marketing and advertising, including but not limited to social media, blogging, email, display, search marketing, mobile.
",www.indeed.com/applystart?jk=709045ee87666127
Marketing Operations Manager,Marketing ,"$61,613 - $119,734 a year",Full-time,,"Marriott International, Inc","Remote in Bethesda, MD+2 locations",4.1,https://www.indeed.com/rc/clk?jk=4f83ed9ce97ec4bf&fccid=0b6c496064ecd79a&vjs=3,4f83ed9ce97ec4bf,PostedPosted 1 day ago,2023-04-23T17:48:51.380Z," 
 Maintain frequent, active engagement with Operations leaders to communicate overall recommendations and next steps based on marketing trends, research, best…
",www.indeed.com/applystart?jk=4f83ed9ce97ec4bf
Part-time Remote Assistant with Research and Social Media Experience,Marketing ,$22 - $28 an hour,Part-time,After school +1,"Pia Nova, LLC",Remote,,"https://www.indeed.com/company/Pia-Nova,-LLC/jobs/Social-Media-Specialist-5ec582492b73c403?fccid=27d1f922c25538f3&vjs=3",5ec582492b73c403,PostedPosted 4 days ago,2023-04-23T17:48:51.380Z,We are a husband and wife team of business partners who recently sold our business and are excited to embark on a new venture. We are currently in the process…,www.indeed.com/applystart?jk=5ec582492b73c403
Marketing Data Analyst (remote),Marketing ,"$75,000 - $85,000 a year",,,PACIFIC THE DISCOVERY AGENCY,"Remote in San Diego, CA",,https://www.indeed.com/rc/clk?jk=bfbc07a1ed2a951f&fccid=e9c5beb39ade32fd&vjs=3,bfbc07a1ed2a951f,PostedPosted 30+ days ago,2023-04-23T17:48:58.243Z," 
 The Marketing Data Analyst is responsible for supporting on-demand marketing analytics requests and developing innovative analytics tools across all aspects of…
",www.indeed.com/applystart?jk=bfbc07a1ed2a951f
Part-time Remote Assistant with Research and Social Media Experience,Marketing ,$22 - $28 an hour,Part-time,After school +1,"Pia Nova, LLC",Remote,,"https://www.indeed.com/company/Pia-Nova,-LLC/jobs/Social-Media-Specialist-5ec582492b73c403?fccid=27d1f922c25538f3&vjs=3",5ec582492b73c403,PostedPosted 4 days ago,2023-04-23T17:48:58.244Z,We are a husband and wife team of business partners who recently sold our business and are excited to embark on a new venture. We are currently in the process…,www.indeed.com/applystart?jk=5ec582492b73c403
Marketing Specialist,Marketing ,"$70,000 - $95,000 a year",,,"Atmosfy, Inc",Remote,,https://www.indeed.com/rc/clk?jk=709045ee87666127&fccid=f768d1a989547912&vjs=3,709045ee87666127,PostedPosted 30+ days ago,2023-04-23T17:48:58.244Z," 
 Experience and knowledge of digital marketing and advertising, including but not limited to social media, blogging, email, display, search marketing, mobile.
",www.indeed.com/applystart?jk=709045ee87666127
Marketing Operations Manager,Marketing ,"$61,613 - $119,734 a year",Full-time,,"Marriott International, Inc","Remote in Bethesda, MD+2 locations",4.1,https://www.indeed.com/rc/clk?jk=4f83ed9ce97ec4bf&fccid=0b6c496064ecd79a&vjs=3,4f83ed9ce97ec4bf,PostedPosted 1 day ago,2023-04-23T17:48:58.244Z," 
 Maintain frequent, active engagement with Operations leaders to communicate overall recommendations and next steps based on marketing trends, research, best…
",www.indeed.com/applystart?jk=4f83ed9ce97ec4bf
"Campaign Marketing Manager, Policy",Marketing ,,,,Google,"Washington, DC (NoMa area)",4.3,https://www.indeed.com/rc/clk?jk=3374a4fcca6a22eb&fccid=a5b4499d9e91a5c6&vjs=3,3374a4fcca6a22eb,PostedPosted 12 days ago,2023-04-23T17:48:58.244Z," 
 Excellent problem-solving skills with the ability to develop strategy, communications plans, creative campaigns, customer insights, and analyze campaign…
",www.indeed.com/applystart?jk=3374a4fcca6a22eb
