Position Name,Job,Salary,Job Type,Shift & Schedule,Company,Location,Rating,URL,Id,Posted At,Scraped At,Short Description,External Apply Link
Data Products Engineer,Data Engineer ,"$120,000 - $150,000 a year",Full-time,,Biofire,"Broomfield, CO",3.7,https://www.indeed.com/rc/clk?jk=d483ae9d634cb78a&fccid=c58b416092e75350&vjs=3,d483ae9d634cb78a,PostedPosted 30+ days ago,2023-04-23T17:56:57.778Z,An analytical builder creating and optimizing data solutions. WHO WE ARE Biofire Technologies is on a mission to give gun owners better tools for reducing…,www.indeed.com/applystart?jk=d483ae9d634cb78a
100% REMOTE // GCP Data Engineer,Data Engineer ,"$140,000 - $150,000 a year",Full-time +1,Monday to Friday +1,Talent Groups,+2 locationsRemote,,https://www.indeed.com/company/Talent-groups/jobs/Data-Engineer-d3c2425951037435?fccid=5099c5ad6c3d5263&vjs=3,d3c2425951037435,EmployerActive 2 days ago,2023-04-23T17:56:57.778Z,*100% REMOTE* *GCP Data Engineer* *Full time* * GCP BQ query knowledge with handson skill of Hana (DWH) * Requirement is to migrate HANA Native objects to…,www.indeed.com/applystart?jk=d3c2425951037435
Data Engineer,Data Engineer ,,Full-time,,PCS Wireless,Remote,3.2,"https://www.indeed.com/company/PCS-Wireless,-LLC/jobs/Data-Engineer-81fbee40da230272?fccid=a4455c5e760a09b4&vjs=3",81fbee40da230272,PostedPosted 11 days ago,2023-04-23T17:56:57.778Z,"*Location: Remote / Florham Park, NJ / Miami, FL* PCS Wireless is the global leader in the secondary market for connected devices. PCS Wireless partners with…",www.indeed.com/applystart?jk=81fbee40da230272
Data Engineer,Data Engineer ,"$80,000 - $120,000 a year",Full-time,Monday to Friday +1,West Shore Home,Remote,3.3,https://www.indeed.com/company/West-Shore-Home/jobs/Data-Engineer-f7d2908826154074?fccid=1f7c53b33d1842f7&vjs=3,f7d2908826154074,EmployerActive 2 days ago,2023-04-23T17:56:57.779Z,"As our nationwide growth accelerates, our remote *Business Systems team *plays a key role in driving forward our mission of *Bringing Happiness to Every Home® …",www.indeed.com/applystart?jk=f7d2908826154074
Data Engineer,Data Engineer ,"Up to $250,000 a year",Full-time,Monday to Friday,LTK,Remote,,https://www.indeed.com/company/Shaker---Florida---rewardStyle/jobs/Data-Engineer-d85324a6dadf8417?fccid=86d3cc2b028e59bb&vjs=3,d85324a6dadf8417,PostedPosted 30+ days ago,2023-04-23T17:56:57.779Z,*LTK is the largest influencer-driven platform used by millions of shoppers every month to find new styles and products curated by influencers all over the…,www.indeed.com/applystart?jk=d85324a6dadf8417
Data Engineer,Data Engineer ,"From $175,000 a year",Full-time +1,8 hour shift,"Sancorp Consulting, LLC","Arlington, VA+2 locations",5.0,"https://www.indeed.com/company/Sancorp-Consulting,-LLC/jobs/Data-Engineer-f9d07a3c89d4cbdf?fccid=e5969c3b428bff77&vjs=3",f9d07a3c89d4cbdf,EmployerActive 2 days ago,2023-04-23T17:56:57.779Z,*Position Description:* Senior Data Warehouse Architect *Location:* In-Person- National Capital Region *Employment Category*: Full Time / Exempt *Travel:*…,www.indeed.com/applystart?jk=f9d07a3c89d4cbdf
AWS Data Engineer - Evernorth Health Services - Remote,Data Engineer ,"$100,500 - $167,500 a year",Full-time,,Cigna,"Remote in Hartford, CT 06152",3.6,https://www.indeed.com/rc/clk?jk=f386a8c583917a9f&fccid=afbf8c270610a38a&vjs=3,f386a8c583917a9f,PostedPosted 30+ days ago,2023-04-23T17:56:57.779Z,Responsibilities: Closely work with technical leadership to understand requirements. Should have strong hands-on cloud experience with AWS suite. Should…,www.indeed.com/applystart?jk=f386a8c583917a9f
BI Data Engineer I,Data Engineer ,,Full-time,,The Boston Beer Company,"Hybrid remote in Boston, MA",3.7,https://www.indeed.com/rc/clk?jk=78f76cd99d5c0df6&fccid=867a345c29c6fa30&vjs=3,78f76cd99d5c0df6,PostedPosted 10 days ago,2023-04-23T17:56:57.779Z,"We are currently hiring a BI Data Engineer I in Boston, MA (Hybrid) . This is a great role on a team that is transforming Business Intelligence technology at…",www.indeed.com/applystart?jk=78f76cd99d5c0df6
Data Engineer,Data Engineer ,"$180,000 - $200,000 a year",Full-time,Monday to Friday +1,Signify Technology,+1 locationRemote,,https://www.indeed.com/company/Signify-Technology/jobs/Data-Engineer-ea78c02fa1c5a904?fccid=6265bdaa0bc7aa64&vjs=3,ea78c02fa1c5a904,EmployerActive 2 days ago,2023-04-23T17:56:57.780Z,Signify Technology is partnered with a client in the healthcare industry who is revolutionizing how healthcare companies are connected to their customers.…,www.indeed.com/applystart?jk=ea78c02fa1c5a904
Data Engineer,Data Engineer ,"$146,000 - $172,000 a year",Full-time,,Procter & Gamble,"Cincinnati, OH+1 location",4.1,https://www.indeed.com/rc/clk?jk=0ab6989684627add&fccid=2da0dedf6df97194&vjs=3,0ab6989684627add,PostedPosted 30+ days ago,2023-04-23T17:56:57.780Z,"Our Team! P&G has declared Advance Analytics as a key strategy and is designing truly modern, scalable Big Data applications. At the same time, P&G is…",www.indeed.com/applystart?jk=0ab6989684627add
"Information Systems, IT, Cyber Engineer & Data Science - Recent Grad/Full Time",Data Engineer ,,Full-time,,Honeywell,United States,3.7,https://www.indeed.com/rc/clk?jk=8e3e230b16afb047&fccid=50208b5bf45ee3b8&vjs=3,8e3e230b16afb047,PostedPosted 30+ days ago,2023-04-23T17:56:57.780Z,"Join a team recognized for leadership, innovation and diversity The future is what you make it. When you join Honeywell, you become a member of our global…",www.indeed.com/applystart?jk=8e3e230b16afb047
Data Engineer,Data Engineer ,$60 - $70 an hour,Full-time +1,,Kanini,Remote,3.5,https://www.indeed.com/company/Kanini/jobs/Data-Engineer-00d1fd11e2eab058?fccid=dc8d8cb455ff17d6&vjs=3,00d1fd11e2eab058,PostedPosted 3 days ago,2023-04-23T17:56:57.780Z,"*About Kanini* Kanini provides Agile Software Development, Cloud Computing, Data Science, and Location Intelligence services to public and private…",www.indeed.com/applystart?jk=00d1fd11e2eab058
Sr. Data Engineer,Data Engineer ,"$79,599 - $185,635 a year",Full-time,8 hour shift,Agiles Enterprise,Remote,,https://www.indeed.com/company/Prescient/jobs/Data-Engineer-9a3c3af71300581e?fccid=bd4258d9070235ed&vjs=3,9a3c3af71300581e,EmployerActive 11 days ago,2023-04-23T17:56:57.780Z,"Databricks Data Engineer Python and Azure Data Engineer Job Type: Full-time Salary: $79,598.71 - $185,635.23 per year Schedule: * 8 hour shift Work…",www.indeed.com/applystart?jk=9a3c3af71300581e
