,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,job
0,0.009892778869711277,0.0,0.002483081606974311,0.0015929178292667628,0.0,0.08885970550046358,0.0,0.0,0.01110681841710719,0.0,0.0,0.0,Healthcare Management 
1,0.0,0.0,0.003044972442359334,0.003631556815253193,0.0613335661830804,0.21002993300902847,0.023371691949252,0.0,0.06127673917073741,0.0,0.0028628552739510377,0.0,Healthcare Management 
2,0.0,0.0,0.0,0.0,0.0,0.08883120022795503,0.0,0.0,0.028828578134107,0.039346298060803135,0.09028104748523944,0.0,Healthcare Management 
3,0.0,0.0,0.0,0.0,0.0,0.0754715769179906,0.0,0.0,0.0,0.0,0.0,0.0,Healthcare Management 
4,0.0,0.003290671203923749,0.0,0.008554595182090292,0.005495369526550463,0.09266741030675799,0.00460629098774348,0.0024896696660460993,0.0,0.0,0.0031810779761225995,0.0,Healthcare Management 
5,0.00105440173003732,0.0,0.005337939021607915,0.08876860888384312,0.016533703973975925,0.12199884794071193,0.021011547043054947,0.0,0.0,0.002836374898759928,0.04918408729867264,0.0,Healthcare Management 
6,0.06719894834445465,0.0,0.0,0.0,0.0,0.3522630885450233,0.0,0.0,0.01763778952668593,0.023427391523064982,0.040151183513940494,0.0,Healthcare Management 
7,0.0,0.0,0.0,0.0,0.0,0.40613909736243614,0.0,0.0,0.010117142676245512,0.0,0.0,0.0,Healthcare Management 
8,0.0013021143911844458,0.0,0.016699076839345264,0.004706936082147409,0.0,0.053928578933255,0.0,0.05404120087141135,0.04291717164125092,0.0,0.04510866579660244,0.0,Healthcare Management 
9,0.009297410370660205,0.0,0.0,0.005235259660208341,0.02220771632958567,0.09524844672069799,0.0,0.0,0.07759978155306517,0.0,0.15260651752500287,0.0,Healthcare Management 
10,0.0006780795943465247,0.0014037497698510721,0.0,0.007938041469678846,0.06693087684091241,0.0,0.0,0.10420916724895785,0.004858594241326387,0.0,0.027294065654794263,0.00673299327760714,Healthcare Management 
11,0.06979284486211285,0.012027412089821167,0.02934248181508121,0.011205715477942078,0.005306784127299723,0.038295131066059876,0.0,0.01133291421742983,0.0,0.029467933769792395,0.0,0.0,Healthcare Management 
12,0.0,0.0,0.0,0.0,0.0,0.4794738173350143,0.0,0.0,0.0,0.011301276876990425,0.0,0.03902529215517731,Healthcare Management 
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6023506034738749,0.0,0.0,0.004690422569579447,Healthcare Management 
14,0.010907768420416158,0.0,0.03651221875373378,1.57079744900013e-06,0.01555564719460637,0.058400910782574984,0.0,0.0002712942259849751,0.0,0.0,0.014733325496622166,0.0,Healthcare Management 
15,0.011479036345394291,0.0,0.0,0.0032775200461075777,0.02084390389134155,0.3491004131369775,0.0,0.0,0.062141436041354525,0.0,0.0,0.0,Healthcare Management 
16,0.0,0.0,0.0,0.0,0.0,0.4794738173350143,0.0,0.0,0.0,0.011301276876990425,0.0,0.03902529215517731,Healthcare Management 
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6023506034738749,0.0,0.0,0.004690422569579447,Healthcare Management 
18,0.0,0.031007194054236326,0.0,0.0,0.0,0.046650252337501336,0.0,0.0,0.032830648983873736,0.0,0.06408704333432791,0.05392252771312915,Healthcare Management 
